Age,Gender,You are using social media since ,Average time you spent on social media everyday,How often do you respond to the notification of social media?,You spend a lot of time thinking about social media or planning how to use it.,You feel an urge to use social media more and more.,You use social media in order to forget about personal problems.,You have tried to cut down on the use of social media without success.,You become restless or troubled if you are prohibited from using social media.,You use social media in a way that achieving your goals/academic score becomes tough/stressful.,Recognizing/Accepting social media addiction,Turn off the notifications,Delete unused apps/social media accounts,Limit your screen time,"Use your phone with purpose (When you want to use your phone, consider the reason why)",Avoid sleeping with mobile (keeping digital devices away for at least one hour before sleep),Remove your phone from your morning routine ,Keep your phone out of reach to focus on work,Use social media as a treat (allow yourself to use social media for sometime when you have done your work/achieve something),Meet people offline whenever possible (Check In With Friends and Family),Purge your “friends” and “follow” lists time to time (People who probably don’t add positive value to your life and often trigger you into unnecessary conversations in social media),Take a break from social media time to time (once in a week),Invest time in physical activity/outdoor games,Get a new hobby,Have lunch/dinner with family without phones ,Turn display to grey pixel,Plan your time with conscious choice
19 - 25,Male,3 years,1 - 2 hours,As soon as possible,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,0,4,4,0,4,4,4,3,4,4,4,4,3,4,4,4,4
19 - 25,Male,5 years,3 - 4 hours,Immediately only if it's important,rarely,sometimes,often,often,often,often,3,4,4,4,5,5,5,5,5,5,5,5,5,5,4,5,5
19 - 25,Male,2 years,3 - 4 hours,Whenever took a phone,sometimes,often,Very rarely,Very rarely,Very rarely,often,4,1,1,2,2,1,4,4,1,4,4,3,3,3,3,3,2
19 - 25,Male,2 years,less than a hour,Whenever took a phone,Very rarely,Very rarely,sometimes,Very rarely,rarely,rarely,3,4,2,1,2,2,3,5,3,3,0,2,3,4,0,5,5
19 - 25,Male,more than 5 years,more than 4 hours,Immediately only if it's important,rarely,sometimes,sometimes,sometimes,often,often,5,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5
19 - 25,Female,more than 5 years,1 - 2 hours,I Don't respond if it's not important,rarely,sometimes,sometimes,rarely,rarely,rarely,0,5,4,3,3,1,4,4,3,4,3,3,3,2,3,1,1
19 - 25,Female,more than 5 years,1 - 2 hours,Whenever took a phone,sometimes,rarely,rarely,rarely,sometimes,often,0,5,5,5,5,5,5,4,4,4,4,2,3,3,3,4,4
19 - 25,Female,more than 5 years,2 - 3 hours,Whenever took a phone,Very rarely,sometimes,often,rarely,Very rarely,rarely,3,3,5,4,4,5,2,4,4,3,2,3,4,1,4,4,3
19 - 25,Female,more than 5 years,more than 4 hours,As soon as possible,rarely,sometimes,Very rarely,sometimes,sometimes,often,0,3,5,4,4,4,5,5,4,4,1,4,3,2,2,1,4
19 - 25,Male,4 years,3 - 4 hours,I Don't respond if it's not important,rarely,sometimes,Very rarely,sometimes,Very rarely,rarely,1,5,5,4,4,5,4,5,4,5,5,5,5,5,5,5,5
19 - 25,Male,more than 5 years,2 - 3 hours,Immediately only if it's important,rarely,sometimes,sometimes,rarely,sometimes,sometimes,3,4,4,2,4,3,1,4,5,2,5,1,3,4,5,2,4
13 - 18,Male,more than 5 years,more than 4 hours,Whenever took a phone,often,sometimes,sometimes,sometimes,often,often,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19 - 25,Male,3 years,3 - 4 hours,Immediately,Very often,often,often,Very often,rarely,rarely,5,2,1,5,4,4,5,4,5,5,2,3,2,1,5,0,4
13 - 18,Male,3 years,1 - 2 hours,Whenever took a phone,sometimes,rarely,sometimes,rarely,often,sometimes,0,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,3
19 - 25,Female,more than 5 years,2 - 3 hours,Whenever took a phone,rarely,Very rarely,rarely,Very rarely,Very rarely,rarely,5,5,5,5,5,5,5,5,4,3,4,5,4,5,5,5,5
19 - 25,Male,more than 5 years,less than a hour,I put off notifications,Very rarely,Very rarely,sometimes,Very often,Very rarely,rarely,0,5,5,5,0,2,0,5,5,3,1,5,5,5,5,5,4
19 - 25,Female,more than 5 years,3 - 4 hours,Immediately,Very rarely,sometimes,Very rarely,Very rarely,Very rarely,sometimes,3,3,4,4,5,5,1,5,5,3,3,1,5,2,5,2,5
19 - 25,Male,5 years,2 - 3 hours,Whenever took a phone,rarely,sometimes,Very rarely,sometimes,sometimes,often,4,4,5,5,5,5,5,5,4,5,5,5,5,3,5,3,3
