UserId,TipId,Ratings
1,2,4
1,3,4
1,5,4
1,6,4
1,7,4
1,8,3
1,9,4
1,10,4
1,11,4
1,12,4
1,13,3
1,14,4
1,15,4
1,16,4
1,17,4
2,1,3
2,2,4
2,3,4
2,4,4
2,5,5
2,6,5
2,7,5
2,8,5
2,9,5
2,10,5
2,11,5
2,12,5
2,13,5
2,14,5
2,15,4
2,16,5
2,17,5
3,1,4
3,2,1
3,3,1
3,4,2
3,5,2
3,6,1
3,7,4
3,8,4
3,9,1
3,10,4
3,11,4
3,12,3
3,13,3
3,14,3
3,15,3
3,16,3
3,17,2
4,1,3
4,2,4
4,3,2
4,4,1
4,5,2
4,6,2
4,7,3
4,8,5
4,9,3
4,10,3
4,12,2
4,13,3
4,14,4
4,16,5
4,17,5
5,1,5
5,2,1
5,3,1
5,14,5
5,17,5
6,2,5
6,3,4
6,4,3
6,5,3
6,6,1
6,7,4
6,8,4
6,9,3
6,10,4
6,11,3
6,12,3
6,13,3
6,14,2
6,15,3
6,16,1
6,17,1
7,2,5
7,3,5
7,4,5
7,5,5
7,6,5
7,7,5
7,8,4
7,9,4
7,10,4
7,11,4
7,12,2
7,13,3
7,14,3
7,15,3
7,16,4
7,17,4
8,1,3
8,2,3
8,3,5
8,4,4
8,5,4
8,6,5
8,7,2
8,8,4
8,9,4
8,10,3
8,11,2
8,12,3
8,13,4
8,14,1
8,15,4
8,16,4
8,17,3
9,2,3
9,3,5
9,4,4
9,5,4
9,6,4
9,7,5
9,8,5
9,9,4
9,10,4
9,11,1
9,12,4
9,13,3
9,14,2
9,15,2
9,16,1
9,17,4
10,1,1
10,2,5
10,3,5
10,4,4
10,5,4
10,6,5
10,7,4
10,8,5
10,9,4
10,10,5
10,11,5
10,12,5
10,13,5
10,14,5
10,15,5
10,16,5
10,17,5
11,1,3
11,2,4
11,3,4
11,4,2
11,5,4
11,6,3
11,7,1
11,8,4
11,9,5
11,10,2
11,11,5
11,12,1
11,13,3
11,14,4
11,15,5
11,16,2
11,17,4
12,1,5
12,2,5
12,3,5
12,4,5
12,5,5
12,6,5
12,7,5
12,8,5
12,9,5
12,10,5
12,11,5
12,12,5
12,13,5
12,14,5
12,15,5
12,16,5
12,17,5
13,1,5
13,2,2
13,3,1
13,4,5
13,5,4
13,6,4
13,7,5
13,8,4
13,9,5
13,10,5
13,11,2
13,12,3
13,13,2
13,14,1
13,15,5
13,17,4
14,2,5
14,3,5
14,4,5
14,5,5
14,6,5
14,7,5
14,8,5
14,9,5
14,10,5
14,11,5
14,12,1
14,13,5
14,14,4
14,15,5
14,16,5
14,17,3
15,1,5
15,2,5
15,3,5
15,4,5
15,5,5
15,6,5
15,7,5
15,8,5
15,9,4
15,10,3
15,11,4
15,12,5
15,13,4
15,14,5
15,15,5
15,16,5
15,17,5
16,2,5
16,3,5
16,4,5
16,6,2
16,8,5
16,9,5
16,10,3
16,11,1
16,12,5
16,13,5
16,14,5
16,15,5
16,16,5
16,17,4
17,1,3
17,2,3
17,3,4
17,4,4
17,5,5
17,6,5
17,7,1
17,8,5
17,9,5
17,10,3
17,11,3
17,12,1
17,13,5
17,14,2
17,15,5
17,16,2
17,17,5
18,1,4
18,2,4
18,3,5
18,4,5
18,5,5
18,6,5
18,7,5
18,8,5
18,9,4
18,10,5
18,11,5
18,12,5
18,13,5
18,14,3
18,15,5
18,16,3
18,17,3
19,1,1
19,2,5
19,3,5
19,4,5
19,5,5
19,6,3
19,7,2
19,8,1
19,9,5
19,10,3
19,11,5
19,12,5
19,13,5
19,14,5
19,15,3
19,16,3
19,17,5
20,1,5
20,2,5
20,3,5
20,6,5
20,7,5
20,8,5
20,9,5
20,10,1
20,11,1
20,12,1
20,13,5
20,14,5
20,15,5
20,17,5
21,1,1
21,2,5
21,3,5
21,4,4
21,5,5
21,6,5
21,7,5
21,8,5
21,9,5
21,10,5
21,11,4
21,12,5
21,13,5
21,14,5
21,15,5
21,16,4
21,17,5
22,2,5
22,3,5
22,4,3
22,5,4
22,6,3
22,7,4
22,8,2
22,9,4
22,10,4
22,11,5
22,12,3
22,13,4
22,14,4
22,15,5
22,16,4
22,17,4
23,1,5
23,2,5
23,3,4
23,4,5
23,5,5
23,6,5
23,7,3
23,8,5
23,9,5
23,10,4
23,11,5
23,12,5
23,13,4
23,15,5
23,16,5
23,17,5
24,1,5
24,2,5
24,3,5
24,4,5
24,5,5
24,6,5
24,7,4
24,8,4
24,9,4
24,10,4
24,11,4
24,12,5
24,13,5
24,14,4
24,15,5
24,16,3
24,17,4
25,1,2
25,2,2
25,3,4
25,4,3
25,5,4
25,6,3
25,7,4
25,8,3
25,9,4
25,10,5
25,11,5
25,12,4
25,13,5
25,14,5
25,15,5
25,16,3
25,17,5
26,1,2
26,2,5
26,3,5
26,4,5
26,5,3
26,6,5
26,7,5
26,8,4
26,9,3
26,10,5
26,11,5
26,12,2
26,13,3
26,14,3
26,15,2
26,16,2
26,17,2
27,1,2
27,2,3
27,3,5
27,4,4
27,5,4
27,6,5
27,7,5
27,8,5
27,9,4
27,10,5
27,11,5
27,12,5
27,13,5
27,14,5
27,15,5
27,16,5
27,17,5
28,1,3
28,2,4
28,3,4
28,4,1
28,5,2
28,6,2
28,7,1
28,8,4
28,9,4
28,10,4
28,11,4
28,12,4
28,13,2
28,15,5
28,16,4
28,17,4
29,1,4
29,2,3
29,3,5
29,4,5
29,5,5
29,6,3
29,7,3
29,8,4
29,9,4
29,10,3
29,11,3
29,12,4
29,13,3
29,14,5
29,15,4
29,16,4
29,17,4
30,1,5
30,2,5
30,3,5
30,4,5
30,5,5
30,6,5
30,7,5
30,8,5
30,9,1
30,10,5
30,11,5
30,12,5
30,13,5
30,14,5
30,15,5
30,16,4
30,17,5
31,1,2
31,3,2
31,4,2
31,5,4
31,6,4
31,7,5
31,8,4
31,9,3
31,10,4
31,11,3
31,12,2
31,13,4
31,14,4
31,15,4
31,16,4
31,17,4
32,1,2
32,2,5
32,3,5
32,4,3
32,5,5
32,6,4
32,7,5
32,8,5
32,9,5
32,10,5
32,11,5
32,12,4
32,13,5
32,14,5
32,15,5
32,16,3
32,17,5
33,1,3
33,2,5
33,4,3
33,5,4
33,6,5
33,7,5
33,8,3
33,9,1
33,10,5
33,11,3
33,12,2
33,13,5
33,14,5
33,15,5
33,16,3
33,17,4
34,1,3
34,2,5
34,3,5
34,4,5
34,5,4
34,6,4
34,7,5
34,8,4
34,9,5
34,10,5
34,11,3
34,12,4
34,13,5
34,14,5
34,15,5
34,16,4
34,17,5
35,3,5
35,4,5
35,5,5
35,6,5
35,7,5
35,8,5
35,9,5
35,10,5
35,11,5
35,12,5
35,13,5
35,14,5
35,15,3
35,16,1
35,17,5
36,1,4
36,2,3
36,3,4
36,4,3
36,5,3
36,6,1
36,7,1
36,8,3
36,9,1
36,10,1
36,13,2
36,14,1
36,15,1
36,16,1
36,17,2
37,1,4
37,2,5
37,3,4
37,4,3
37,5,4
37,6,3
37,7,1
37,8,2
37,9,5
37,10,4
37,11,1
37,12,3
37,13,1
37,14,1
37,15,1
37,16,2
37,17,3
38,1,5
38,2,1
38,3,5
38,5,5
38,6,5
38,7,5
38,8,5
38,9,5
38,10,1
38,11,5
38,12,1
38,13,5
38,14,5
38,15,5
38,16,3
38,17,5
39,1,1
39,2,5
